dim,beta,abs_beta
203,0.0,0.0
207,0.0,0.0
199,0.0,0.0
196,-0.0,0.0
197,0.0,0.0
222,0.0,0.0
221,0.0,0.0
220,-0.0,0.0
219,-0.0,0.0
216,-0.0,0.0
218,-0.0,0.0
214,-0.0,0.0
215,-0.0,0.0
208,-0.0,0.0
211,0.0,0.0
209,0.0,0.0
194,-0.0,0.0
193,0.0,0.0
201,-0.0,0.0
228,-0.0,0.0
227,-0.0,0.0
238,-0.0,0.0
236,-0.0,0.0
234,0.0,0.0
235,0.0,0.0
233,-0.0,0.0
232,-0.0,0.0
242,-0.0,0.0
240,-0.0,0.0
246,-0.0,0.0
245,0.0,0.0
244,0.0,0.0
243,0.0,0.0
251,-0.0,0.0
250,-0.0,0.0
248,-0.0,0.0
253,-0.0,0.0
