dataset,model_type,features,y_true,oof_prob
A2,TopKNet,BF (top-20),0,0.48539
A2,TopKNet,BF (top-20),0,0.446193
A2,TopKNet,BF (top-20),0,0.439856
A2,TopKNet,BF (top-20),0,0.473053
A2,TopKNet,BF (top-20),0,0.489629
A2,TopKNet,BF (top-20),0,0.464895
A2,TopKNet,BF (top-20),0,0.417734
A2,TopKNet,BF (top-20),0,0.464215
A2,TopKNet,BF (top-20),0,0.447214
A2,TopKNet,BF (top-20),0,0.542982
A2,TopKNet,BF (top-20),0,0.447176
A2,TopKNet,BF (top-20),1,0.499176
A2,TopKNet,BF (top-20),0,0.403463
A2,TopKNet,BF (top-20),1,0.410024
A2,TopKNet,BF (top-20),0,0.542011
A2,TopKNet,BF (top-20),0,0.454166
A2,TopKNet,BF (top-20),0,0.547382
A2,TopKNet,BF (top-20),0,0.404267
A2,TopKNet,BF (top-20),0,0.538628
A2,TopKNet,BF (top-20),0,0.540601
A2,TopKNet,BF (top-20),0,0.433365
A2,TopKNet,BF (top-20),0,0.488237
A2,TopKNet,BF (top-20),0,0.469565
A2,TopKNet,BF (top-20),0,0.409753
A2,TopKNet,BF (top-20),0,0.42938
A2,TopKNet,BF (top-20),0,0.454897
A2,TopKNet,BF (top-20),0,0.495305
A2,TopKNet,BF (top-20),0,0.471509
A2,TopKNet,BF (top-20),0,0.538468
A2,TopKNet,BF (top-20),0,0.469248
A2,TopKNet,BF (top-20),0,0.457791
A2,TopKNet,BF (top-20),0,0.537981
A2,TopKNet,BF (top-20),1,0.545139
A2,TopKNet,BF (top-20),0,0.422458
A2,TopKNet,BF (top-20),1,0.471259
A2,TopKNet,BF (top-20),1,0.467364
A2,TopKNet,BF (top-20),1,0.417302
A2,TopKNet,BF (top-20),0,0.472757
A2,TopKNet,BF (top-20),0,0.550889
A2,TopKNet,BF (top-20),1,0.45999
A2,TopKNet,BF (top-20),1,0.619758
A2,TopKNet,BF (top-20),1,0.411353
A2,TopKNet,BF (top-20),1,0.427941
A2,TopKNet,BF (top-20),1,0.477988
A2,TopKNet,BF (top-20),0,0.465837
A2,TopKNet,BF (top-20),1,0.511454
A2,TopKNet,BF (top-20),0,0.463134
A2,TopKNet,BF (top-20),0,0.551482
A2,TopKNet,BF (top-20),0,0.466359
A2,TopKNet,BF (top-20),1,0.474608
A2,TopKNet,BF (top-20),1,0.456028
A2,TopKNet,BF (top-20),0,0.419283
A2,TopKNet,BF (top-20),0,0.45411
A2,TopKNet,BF (top-20),1,0.456805
A2,TopKNet,BF (top-20),1,0.450134
A2,TopKNet,BF (top-20),0,0.425213
A2,TopKNet,BF (top-20),0,0.529452
A2,TopKNet,BF (top-20),0,0.487788
A2,TopKNet,BF (top-20),0,0.439538
A2,TopKNet,BF (top-20),0,0.419719
A2,TopKNet,BF (top-20),0,0.42295
A2,TopKNet,BF (top-20),0,0.520386
A2,TopKNet,BF (top-20),0,0.408041
A2,TopKNet,BF (top-20),0,0.541686
A2,TopKNet,BF (top-20),0,0.481932
A2,TopKNet,BF (top-20),1,0.420627
A2,TopKNet,BF (top-20),1,0.47265
A2,TopKNet,BF (top-20),0,0.472549
A2,TopKNet,BF (top-20),1,0.472575
A2,TopKNet,BF (top-20),1,0.472272
A2,TopKNet,BF (top-20),1,0.551164
A2,TopKNet,BF (top-20),0,0.440354
A2,TopKNet,BF (top-20),1,0.443937
A2,TopKNet,BF (top-20),0,0.469093
A2,TopKNet,BF (top-20),1,0.54259
A2,TopKNet,BF (top-20),1,0.484223
A2,TopKNet,BF (top-20),0,0.470737
A2,TopKNet,BF (top-20),0,0.466624
A2,TopKNet,BF (top-20),0,0.457882
A2,TopKNet,BF (top-20),0,0.410679
A2,TopKNet,BF (top-20),1,0.615747
A2,TopKNet,BF (top-20),1,0.546615
A2,TopKNet,BF (top-20),0,0.428361
A2,TopKNet,BF (top-20),0,0.543374
A2,TopKNet,BF (top-20),0,0.431887
A2,TopKNet,BF (top-20),1,0.426608
A2,TopKNet,BF (top-20),1,0.459758
A2,TopKNet,BF (top-20),0,0.537136
A2,TopKNet,BF (top-20),1,0.38609
A2,TopKNet,GFP+BF (top-40),1,0.532061
A2,TopKNet,GFP+BF (top-40),0,0.421509
A2,TopKNet,GFP+BF (top-40),0,0.456284
A2,TopKNet,GFP+BF (top-40),1,0.472542
A2,TopKNet,GFP+BF (top-40),0,0.514082
A2,TopKNet,GFP+BF (top-40),0,0.28611
A2,TopKNet,GFP+BF (top-40),0,0.525247
A2,TopKNet,GFP+BF (top-40),0,0.318452
A2,TopKNet,GFP+BF (top-40),1,0.33978
A2,TopKNet,GFP+BF (top-40),0,0.415377
A2,TopKNet,GFP+BF (top-40),0,0.520281
A2,TopKNet,GFP+BF (top-40),0,0.313722
A2,TopKNet,GFP+BF (top-40),0,0.533831
A2,TopKNet,GFP+BF (top-40),1,0.524899
A2,TopKNet,GFP+BF (top-40),0,0.385677
A2,TopKNet,GFP+BF (top-40),0,0.446154
A2,TopKNet,GFP+BF (top-40),0,0.426467
A2,TopKNet,GFP+BF (top-40),0,0.530034
A2,TopKNet,GFP+BF (top-40),0,0.450882
A2,TopKNet,GFP+BF (top-40),0,0.407477
A2,TopKNet,GFP+BF (top-40),0,0.509676
A2,TopKNet,GFP+BF (top-40),0,0.315973
A2,TopKNet,GFP+BF (top-40),0,0.458692
A2,TopKNet,GFP+BF (top-40),0,0.519519
A2,TopKNet,GFP+BF (top-40),0,0.53341
A2,TopKNet,GFP+BF (top-40),0,0.605494
A2,TopKNet,GFP+BF (top-40),0,0.524444
A2,TopKNet,GFP+BF (top-40),0,0.779555
A2,TopKNet,GFP+BF (top-40),1,0.642392
A2,TopKNet,GFP+BF (top-40),0,0.429411
A2,TopKNet,GFP+BF (top-40),0,0.44995
A2,TopKNet,GFP+BF (top-40),1,0.462111
A2,TopKNet,GFP+BF (top-40),0,0.535018
A2,TopKNet,GFP+BF (top-40),0,0.318263
A2,TopKNet,GFP+BF (top-40),0,0.461765
A2,TopKNet,GFP+BF (top-40),0,0.578009
A2,TopKNet,GFP+BF (top-40),0,0.454422
A2,TopKNet,GFP+BF (top-40),0,0.499948
