subset,features,y_true,oof_prob
all_b2r,BF (top-20),1,0.646015
all_b2r,BF (top-20),0,0.747581
all_b2r,BF (top-20),1,0.319037
all_b2r,BF (top-20),0,0.114479
all_b2r,BF (top-20),0,0.028334
all_b2r,BF (top-20),0,0.223997
all_b2r,BF (top-20),0,0.219515
all_b2r,BF (top-20),0,0.129796
all_b2r,BF (top-20),0,0.008558
all_b2r,BF (top-20),0,0.028286
all_b2r,BF (top-20),0,0.324929
all_b2r,BF (top-20),0,0.377405
all_b2r,BF (top-20),0,0.060497
all_b2r,BF (top-20),0,0.616194
all_b2r,BF (top-20),0,0.08481
all_b2r,BF (top-20),0,0.090739
all_b2r,BF (top-20),0,0.240704
all_b2r,BF (top-20),0,0.375939
all_b2r,BF (top-20),0,0.503743
all_b2r,BF (top-20),1,0.831375
all_b2r,BF (top-20),0,0.783519
all_b2r,BF (top-20),0,0.057835
all_b2r,BF (top-20),0,0.174316
all_b2r,BF (top-20),0,0.026306
all_b2r,BF (top-20),0,0.820095
all_b2r,BF (top-20),0,0.050968
all_b2r,BF (top-20),1,0.692795
all_b2r,BF (top-20),0,0.987144
all_b2r,BF (top-20),0,0.06652
all_b2r,BF (top-20),1,0.627516
all_b2r,BF (top-20),0,0.107265
all_b2r,BF (top-20),0,0.02152
all_b2r,BF (top-20),0,0.208241
all_b2r,BF (top-20),0,0.370303
all_b2r,BF (top-20),0,0.031461
all_b2r,BF (top-20),1,0.872585
all_b2r,BF (top-20),0,0.279827
all_b2r,BF (top-20),0,0.148916
all_b2r,BF (top-20),0,0.653808
all_b2r,BF (top-20),1,0.968677
all_b2r,BF (top-20),1,0.965648
all_b2r,BF (top-20),0,0.531835
all_b2r,BF (top-20),1,0.833147
all_b2r,BF (top-20),0,0.181118
all_b2r,BF (top-20),1,0.915106
all_b2r,BF (top-20),0,0.587332
all_b2r,BF (top-20),0,0.364973
all_b2r,BF (top-20),1,0.406599
all_b2r,BF (top-20),0,0.773572
all_b2r,BF (top-20),0,0.258586
all_b2r,BF (top-20),0,0.566092
all_b2r,BF (top-20),0,0.261062
all_b2r,BF (top-20),0,0.634228
all_b2r,BF (top-20),0,0.276732
all_b2r,BF (top-20),0,0.012268
all_b2r,BF (top-20),0,0.305121
all_b2r,BF (top-20),0,0.110707
all_b2r,BF (top-20),0,0.108057
all_b2r,BF (top-20),0,0.088718
all_b2r,BF (top-20),0,0.855676
all_b2r,BF (top-20),0,0.114747
all_b2r,BF (top-20),0,0.082572
all_b2r,BF (top-20),0,0.175576
all_b2r,BF (top-20),0,0.418429
all_b2r,BF (top-20),0,0.226264
all_b2r,BF (top-20),0,0.355242
all_b2r,BF (top-20),0,0.234493
all_b2r,BF (top-20),0,0.197203
all_b2r,BF (top-20),0,0.285569
all_b2r,BF (top-20),0,0.081321
all_b2r,BF (top-20),0,0.061493
all_b2r,BF (top-20),0,0.773981
all_b2r,BF (top-20),0,0.628616
all_b2r,BF (top-20),1,0.854868
all_b2r,BF (top-20),1,0.750443
all_b2r,BF (top-20),0,0.185956
all_b2r,BF (top-20),0,0.800968
all_b2r,BF (top-20),0,0.358592
all_b2r,BF (top-20),0,0.511245
all_b2r,BF (top-20),0,0.607675
all_b2r,BF (top-20),0,0.286809
all_b2r,BF (top-20),0,0.134427
all_b2r,BF (top-20),0,0.208567
all_b2r,BF (top-20),0,0.060504
all_b2r,BF (top-20),0,0.244466
all_b2r,BF (top-20),0,0.581931
all_b2r,BF (top-20),1,0.50513
all_b2r,BF (top-20),1,0.358192
all_b2r,BF (top-20),0,0.167201
all_b2r,BF (top-20),0,0.389121
all_b2r,BF (top-20),0,0.875941
all_b2r,BF (top-20),1,0.056868
all_b2r,BF (top-20),0,0.107745
all_b2r,BF (top-20),0,0.27877
all_b2r,BF (top-20),1,0.86027
all_b2r,BF (top-20),0,0.928312
all_b2r,BF (top-20),0,0.21866
all_b2r,BF (top-20),0,0.203132
all_b2r,BF (top-20),1,0.674217
all_b2r,BF (top-20),0,0.334485
all_b2r,BF (top-20),0,0.023086
all_b2r,BF (top-20),1,0.463959
all_b2r,BF (top-20),0,0.086101
all_b2r,BF (top-20),0,0.574148
all_b2r,BF (top-20),0,0.311041
all_b2r,BF (top-20),0,0.010756
all_b2r,BF (top-20),1,0.133719
all_b2r,BF (top-20),0,0.523695
all_b2r,BF (top-20),0,0.093458
all_b2r,BF (top-20),0,0.113425
all_b2r,BF (top-20),1,0.797181
all_b2r,BF (top-20),0,0.002428
all_b2r,BF (top-20),1,0.414774
all_b2r,BF (top-20),0,0.582564
all_b2r,BF (top-20),0,0.020419
all_b2r,BF (top-20),1,0.846722
all_b2r,BF (top-20),0,0.679971
all_b2r,BF (top-20),0,0.588792
all_b2r,BF (top-20),0,0.142204
all_b2r,BF (top-20),0,0.533995
all_b2r,BF (top-20),0,0.121645
all_b2r,BF (top-20),0,0.894536
all_b2r,BF (top-20),0,0.212336
all_b2r,BF (top-20),0,0.221565
all_b2r,BF (top-20),0,0.227063
all_b2r,BF (top-20),0,0.911638
all_b2r,BF (top-20),0,0.519169
all_b2r,BF (top-20),1,0.552555
all_b2r,BF (top-20),0,0.164046
all_b2r,BF (top-20),0,0.90327
all_b2r,BF (top-20),1,0.809534
all_b2r,BF (top-20),0,0.660839
all_b2r,BF (top-20),0,0.173958
all_b2r,BF (top-20),1,0.097356
all_b2r,BF (top-20),0,0.521938
all_b2r,BF (top-20),0,0.002857
all_b2r,BF (top-20),0,0.05071
all_b2r,BF (top-20),0,0.732835
all_b2r,BF (top-20),0,0.244444
all_b2r,BF (top-20),0,0.365736
all_b2r,BF (top-20),0,0.034898
all_b2r,BF (top-20),0,0.147419
all_b2r,BF (top-20),1,0.543154
all_b2r,BF (top-20),0,0.265737
all_b2r,BF (top-20),0,0.317416
all_b2r,BF (top-20),0,0.135282
all_b2r,BF (top-20),0,0.503368
all_b2r,BF (top-20),0,0.430072
all_b2r,BF (top-20),0,0.292339
all_b2r,BF (top-20),0,0.569698
all_b2r,BF (top-20),0,0.130935
all_b2r,BF (top-20),0,0.194822
all_b2r,BF (top-20),0,0.14699
all_b2r,BF (top-20),0,0.680969
all_b2r,BF (top-20),0,0.585432
all_b2r,BF (top-20),0,0.238391
all_b2r,BF (top-20),0,0.897792
all_b2r,BF (top-20),1,0.650423
all_b2r,BF (top-20),0,0.501474
all_b2r,BF (top-20),0,0.068805
all_b2r,BF (top-20),0,0.099215
all_b2r,BF (top-20),0,0.340377
all_b2r,BF (top-20),0,0.601636
all_b2r,BF (top-20),0,0.845682
all_b2r,BF (top-20),0,0.15921
all_b2r,BF (top-20),0,0.265461
all_b2r,BF (top-20),0,0.443193
all_b2r,BF (top-20),0,0.032273
all_b2r,BF (top-20),0,0.086285
all_b2r,BF (top-20),0,0.228488
all_b2r,BF (top-20),0,0.159932
all_b2r,BF (top-20),0,0.398422
all_b2r,BF (top-20),0,0.139063
all_b2r,BF (top-20),0,0.002878
all_b2r,BF (top-20),0,0.635836
all_b2r,BF (top-20),0,0.031362
all_b2r,BF (top-20),0,0.261032
all_b2r,BF (top-20),0,0.085666
all_b2r,BF (top-20),0,0.487607
all_b2r,BF (top-20),0,0.381704
all_b2r,BF (top-20),0,0.046972
all_b2r,BF (top-20),0,0.731439
all_b2r,BF (top-20),0,0.322098
all_b2r,BF (top-20),0,0.353133
all_b2r,BF (top-20),1,0.579286
all_b2r,BF (top-20),0,0.297859
all_b2r,BF (top-20),0,0.195843
all_b2r,BF (top-20),0,0.244613
all_b2r,GFP+BF (top-40),0,0.611623
all_b2r,GFP+BF (top-40),0,0.027628
all_b2r,GFP+BF (top-40),0,0.549809
all_b2r,GFP+BF (top-40),0,0.792424
all_b2r,GFP+BF (top-40),0,0.381441
all_b2r,GFP+BF (top-40),0,0.001713
all_b2r,GFP+BF (top-40),1,0.77335
all_b2r,GFP+BF (top-40),0,0.066101
all_b2r,GFP+BF (top-40),0,0.075993
all_b2r,GFP+BF (top-40),0,0.859756
all_b2r,GFP+BF (top-40),0,0.081814
all_b2r,GFP+BF (top-40),0,0.561895
all_b2r,GFP+BF (top-40),0,0.572247
all_b2r,GFP+BF (top-40),0,0.024612
all_b2r,GFP+BF (top-40),0,0.015054
all_b2r,GFP+BF (top-40),0,0.259081
all_b2r,GFP+BF (top-40),0,0.098328
all_b2r,GFP+BF (top-40),0,0.153066
all_b2r,GFP+BF (top-40),0,0.328158
all_b2r,GFP+BF (top-40),1,0.313348
all_b2r,GFP+BF (top-40),0,0.034148
all_b2r,GFP+BF (top-40),0,0.459939
all_b2r,GFP+BF (top-40),0,0.003107
all_b2r,GFP+BF (top-40),0,0.130795
all_b2r,GFP+BF (top-40),1,0.363747
all_b2r,GFP+BF (top-40),1,0.485013
all_b2r,GFP+BF (top-40),0,0.285242
all_b2r,GFP+BF (top-40),0,0.97042
all_b2r,GFP+BF (top-40),1,0.944703
all_b2r,GFP+BF (top-40),0,0.121575
all_b2r,GFP+BF (top-40),0,0.212856
all_b2r,GFP+BF (top-40),0,0.006851
all_b2r,GFP+BF (top-40),1,0.154452
all_b2r,GFP+BF (top-40),0,0.024668
all_b2r,GFP+BF (top-40),1,0.879865
all_b2r,GFP+BF (top-40),0,0.016481
all_b2r,GFP+BF (top-40),0,0.424755
all_b2r,GFP+BF (top-40),0,0.833579
all_b2r,GFP+BF (top-40),0,0.222775
all_b2r,GFP+BF (top-40),0,0.954264
all_b2r,GFP+BF (top-40),1,0.87363
all_b2r,GFP+BF (top-40),1,0.277439
all_b2r,GFP+BF (top-40),0,0.020994
all_b2r,GFP+BF (top-40),0,0.035705
all_b2r,GFP+BF (top-40),0,0.967586
all_b2r,GFP+BF (top-40),1,0.618005
all_b2r,GFP+BF (top-40),0,0.426368
all_b2r,GFP+BF (top-40),0,0.018349
all_b2r,GFP+BF (top-40),0,0.381341
all_b2r,GFP+BF (top-40),0,0.020477
all_b2r,GFP+BF (top-40),0,0.002801
all_b2r,GFP+BF (top-40),1,0.336375
all_b2r,GFP+BF (top-40),0,0.031827
all_b2r,GFP+BF (top-40),0,0.166417
all_b2r,GFP+BF (top-40),0,0.151057
all_b2r,GFP+BF (top-40),0,0.462586
all_b2r,GFP+BF (top-40),0,0.568626
all_b2r,GFP+BF (top-40),0,0.004428
all_b2r,GFP+BF (top-40),0,0.006928
all_b2r,GFP+BF (top-40),0,0.064996
all_b2r,GFP+BF (top-40),0,0.101715
all_b2r,GFP+BF (top-40),0,0.017684
all_b2r,GFP+BF (top-40),1,0.159384
all_b2r,GFP+BF (top-40),0,0.919648
all_b2r,GFP+BF (top-40),1,0.279353
all_b2r,GFP+BF (top-40),0,0.172485
all_b2r,GFP+BF (top-40),0,0.192679
all_b2r,GFP+BF (top-40),0,0.008449
all_b2r,GFP+BF (top-40),0,0.038969
all_b2r,GFP+BF (top-40),0,0.189147
all_b2r,GFP+BF (top-40),1,0.011575
all_b2r,GFP+BF (top-40),0,0.032849
all_b2r,GFP+BF (top-40),0,0.293801
all_b2r,GFP+BF (top-40),0,0.333653
all_b2r,GFP+BF (top-40),0,0.02032
all_b2r,GFP+BF (top-40),0,0.187492
all_b2r,GFP+BF (top-40),0,0.098211
all_b2r,GFP+BF (top-40),1,0.00495
all_b2r,GFP+BF (top-40),0,0.574582
all_b2r,GFP+BF (top-40),0,0.638307
all_b2r,GFP+BF (top-40),0,0.12733
all_b2r,GFP+BF (top-40),0,0.041449
all_b2r,GFP+BF (top-40),0,0.007878
