Track_ID,dataset,onset_frame,dist_nearest,n_infected_at_onset,n_within_50,n_within_100,n_within_200
A2_2453,A2,70.0,18.76154750537872,669,1,3,9
A2_2457,A2,70.0,24.509451805230476,669,1,4,10
A2_2459,A2,70.0,35.54018380654806,669,1,4,7
A2_2464,A2,70.0,69.13689369838104,669,0,1,14
A2_2473,A2,66.0,18.870469525688677,633,1,1,3
A2_2474,A2,70.0,29.64309043041112,669,1,2,8
A2_2475,A2,70.0,54.66869456760301,669,0,4,18
A2_2502,A2,71.0,48.23340200215558,689,1,3,6
A2_2524,A2,74.0,50.272602466934266,706,0,4,14
A2_2526,A2,72.0,107.35316096801313,687,0,0,7
A2_2528,A2,75.0,37.321321648321394,737,1,5,19
A2_2529,A2,74.0,43.71368831826194,706,1,4,15
A2_2531,A2,75.0,33.441401875720224,737,1,6,17
A2_2538,A2,74.0,30.920247986972498,706,2,6,13
A2_2541,A2,75.0,30.371481625374436,737,1,3,10
A2_2543,A2,74.0,24.552294490186476,706,2,3,12
A2_2546,A2,75.0,23.71759492399841,737,1,3,11
A2_2547,A2,74.0,57.5047143550228,706,0,5,10
A2_2565,A2,72.0,58.70211573946312,687,0,2,9
A2_2567,A2,75.0,85.40951918195874,737,0,1,10
A2_2570,A2,74.0,64.94015950904307,706,0,4,12
A2_2571,A2,74.0,25.368667730631223,706,1,2,8
A2_2584,A2,75.0,22.031625133500615,737,1,4,14
A2_2586,A2,74.0,38.270713445028605,706,2,3,13
A2_2587,A2,72.0,31.01739147065166,687,1,3,12
A2_2589,A2,75.0,24.888122733654313,737,1,1,13
A2_2591,A2,74.0,110.65408611014166,706,0,0,11
A2_2592,A2,74.0,55.71096409496253,706,0,2,16
A2_2593,A2,74.0,10.768112963243574,706,1,3,11
A2_2596,A2,67.0,83.53508307551009,655,0,2,2
A2_2598,A2,74.0,50.385410501268495,706,0,2,10
A2_2602,A2,74.0,41.62217918632502,706,2,4,20
A2_2604,A2,74.0,60.31401267461658,706,0,5,20
A2_2621,A2,74.0,36.4601727833854,706,1,3,13
A2_2626,A2,74.0,41.675954199391036,706,1,4,20
A2_2629,A2,74.0,29.706785230974496,706,2,2,12
A2_2643,A2,77.0,42.85869001767762,741,1,4,20
A2_2651,A2,76.0,66.81741844898121,730,0,6,18
A2_2656,A2,77.0,66.34297671626821,741,0,4,14
A2_2666,A2,77.0,120.74151630291696,741,0,0,2
A2_2684,A2,77.0,43.52901492290351,741,1,6,12
A2_2692,A2,77.0,45.53425819567688,741,1,3,10
A2_2693,A2,77.0,59.82383246916032,741,0,3,12
A2_2694,A2,77.0,77.04574064643366,741,0,2,26
A2_2698,A2,76.0,27.723230105264083,730,2,4,13
A2_2699,A2,77.0,34.61502479348673,741,2,3,24
A2_2710,A2,76.0,18.404955401477398,730,1,3,14
A2_2719,A2,76.0,23.334971103538944,730,1,1,13
A2_2720,A2,77.0,27.58115266195249,741,2,5,18
A2_2723,A2,78.0,26.289229204064455,739,1,2,16
A2_2726,A2,78.0,87.57030595643087,739,0,1,20
A2_2727,A2,78.0,84.67958705618373,739,0,1,7
A2_2731,A2,78.0,46.50151290618484,739,1,6,15
A2_2734,A2,78.0,29.129301485246234,739,2,3,25
A2_2736,A2,78.0,75.25880005931009,739,0,2,6
A2_2741,A2,78.0,17.674017805007377,739,2,5,18
A2_2753,A2,78.0,18.377255597536944,739,1,3,15
A2_2758,A2,76.0,65.28043998615645,730,0,4,13
A2_2762,A2,78.0,15.678596798043186,739,1,2,9
A2_2768,A2,79.0,53.39402838121307,755,0,5,17
A2_2774,A2,76.0,27.247622335873295,730,2,4,14
A2_2787,A2,79.0,71.07584545533611,755,0,2,17
A2_2788,A2,79.0,19.520373158160183,755,1,5,16
A2_2791,A2,81.0,41.13507194080434,774,1,5,14
A2_2792,A2,80.0,65.93997017619398,770,0,1,7
A2_2798,A2,80.0,20.326839509783916,770,2,4,12
A2_2802,A2,80.0,51.28673617617573,770,0,4,16
A2_2809,A2,81.0,68.21856343720624,774,0,1,18
A2_2826,A2,81.0,45.72021758135466,774,1,6,26
A2_2840,A2,80.0,18.054926252882805,770,3,4,14
A2_2841,A2,81.0,90.05444353165885,774,0,1,8
A2_2847,A2,80.0,109.10483497886128,770,0,0,5
A2_2848,A2,81.0,58.59115076079021,774,0,2,14
A2_2853,A2,81.0,34.641866802161594,774,1,5,18
A2_2859,A2,81.0,59.89016685984703,774,0,7,21
A2_2864,A2,81.0,44.012094570368404,774,3,7,23
A2_2866,A2,80.0,25.424125654752782,770,1,3,7
A2_2870,A2,84.0,12.68799798070015,795,2,6,18
A2_2890,A2,82.0,34.546102766643884,782,1,5,23
A2_2892,A2,83.0,28.548432386842467,786,1,5,9
A2_2893,A2,82.0,23.499920444809224,782,2,6,19
A2_2902,A2,82.0,39.36338300917624,782,1,4,12
A2_2908,A2,84.0,32.502869325391686,795,1,1,8
A2_2913,A2,84.0,2.8964086671418023,795,1,3,13
A2_2927,A2,83.0,33.78423923094446,786,2,5,14
A2_2930,A2,82.0,41.24826031655148,782,2,5,17
A2_2931,A2,83.0,29.87407195258305,786,1,4,15
A2_2935,A2,84.0,109.15477199817155,795,0,0,4
A2_2939,A2,83.0,119.59853771612471,786,0,0,4
A2_2941,A2,84.0,18.53859017673817,795,3,6,24
A2_2944,A2,85.0,54.34540174335113,802,0,4,16
A2_2951,A2,85.0,52.6003262047309,802,0,2,4
A2_2954,A2,85.0,49.06810287679016,802,2,5,24
A2_2958,A2,85.0,45.809960914585766,802,1,3,9
A2_2965,A2,85.0,27.32120641001459,802,1,4,17
A2_2978,A2,83.0,30.762351951153313,786,3,5,12
A2_3005,A2,87.0,15.570415499593,809,2,6,24
A2_3010,A2,86.0,74.87724615354095,795,0,1,3
A2_3012,A2,87.0,27.288039999304704,809,1,4,13
A2_3014,A2,87.0,11.192628284677678,809,1,3,15
A2_3015,A2,87.0,3.765170284915386,809,1,3,16
A2_3016,A2,82.0,33.83809254985679,782,2,8,18
A2_3018,A2,87.0,25.149565835511414,809,1,6,20
A2_3030,A2,87.0,40.717567348396294,809,1,5,19
A2_3031,A2,86.0,52.57858374872129,795,0,4,16
A2_3032,A2,86.0,20.868873937406814,795,1,1,16
