Track ID,mean_speed,group
2813,5.763630636446317,non_infected
2819,10.606279321102198,non_infected
2820,4.61103536382783,non_infected
2824,9.656340915186979,non_infected
2835,11.97904328560065,non_infected
2839,9.21846880924938,non_infected
2860,7.178676167988821,non_infected
2869,2.872680254638816,non_infected
2873,8.99747045516779,non_infected
2877,5.3771190910840865,non_infected
2881,8.211111954434577,non_infected
2890,6.189749676081452,infected
2892,6.709353903275956,non_infected
2899,10.313263688942223,non_infected
2904,8.388383034010971,non_infected
2907,4.4536123455578585,non_infected
2910,6.93622368458463,non_infected
2925,5.705055631712059,non_infected
2930,9.56763646601893,non_infected
2941,8.461118054463398,non_infected
2950,5.330201884280911,non_infected
2953,5.683707983413979,non_infected
2957,6.775088370343329,non_infected
2958,6.601205738193113,non_infected
2962,8.40823237273893,non_infected
2964,10.225449468288202,infected
2967,7.590581255657836,non_infected
2969,8.300468363895483,non_infected
2972,7.759217579274922,non_infected
2976,10.564893223234638,non_infected
2981,7.789655610377458,non_infected
2984,5.670617784376549,non_infected
2986,5.606937161325342,non_infected
2989,8.160351917230695,non_infected
2994,9.6884088729626,non_infected
2999,7.979583716343524,non_infected
3001,8.77733364455591,non_infected
3005,6.875661443696899,non_infected
3022,3.7333604619471625,non_infected
3036,6.113325992374925,non_infected
3038,7.7989653096173415,non_infected
3039,8.322033029599803,non_infected
3045,8.246367247242173,non_infected
3046,7.4292795991198215,non_infected
3050,4.653810726613926,non_infected
3061,6.444661175803244,non_infected
3066,6.815700317506697,non_infected
3072,7.84042409869009,non_infected
3074,8.435455858331732,infected
3075,9.71393554045597,non_infected
3079,7.4006456160493075,non_infected
3080,5.8988380464128864,non_infected
3082,8.150640124500017,non_infected
3090,7.46383469231979,non_infected
3093,5.0056047120893545,infected
3107,7.093492109566217,non_infected
3109,8.574769611969717,non_infected
3116,8.760999903946313,non_infected
3120,7.320447825168862,non_infected
3131,7.68224579627936,non_infected
3135,7.835136438868236,non_infected
3139,8.285257847062322,infected
3147,9.47001156412072,non_infected
3159,9.504575084640514,non_infected
3173,9.597312572969727,non_infected
3185,11.013928015804868,non_infected
3186,9.504018726058273,non_infected
3211,8.940692569291869,infected
3219,10.879122434519815,non_infected
3220,7.145124433194516,non_infected
3227,7.928126373760174,non_infected
3231,10.964437502662165,infected
3233,6.705700514148679,non_infected
3237,9.382975887621956,non_infected
3240,8.3204518111914,non_infected
3254,11.054713382670627,infected
3255,7.9131174535175495,non_infected
3258,7.52242664056984,non_infected
3260,7.251820832592534,non_infected
3263,9.277044800566046,non_infected
3284,10.640784836762618,non_infected
3294,5.972986780290564,non_infected
3298,8.803096743895642,infected
