dataset,arch,mode,lambda,track_id,y_cls,oof_prob,y_reg,oof_reg_min
A2+A3,dual_branch,multitask,1.0,3847,0,0.6069086194038391,1410.0469970703125,1594.51171875
A2+A3,dual_branch,multitask,1.0,3859,1,0.6582087278366089,465.0154724121094,1475.814208984375
A2+A3,dual_branch,multitask,1.0,3865,1,0.6804746985435486,570.0189819335938,1438.80810546875
A2+A3,dual_branch,multitask,1.0,3996,0,0.742784321308136,1095.0364990234375,1298.8155517578125
A2+A3,dual_branch,multitask,1.0,3997,1,0.693157970905304,615.0205078125,1324.60009765625
A2+A3,dual_branch,multitask,1.0,4008,1,0.6325673460960388,330.010986328125,1440.3299560546875
A2+A3,dual_branch,multitask,1.0,4029,1,0.6144642233848572,660.02197265625,1572.724365234375
A2+A3,dual_branch,multitask,1.0,4054,0,0.5177956819534302,1395.0465087890625,1704.5906982421875
A2+A3,dual_branch,multitask,1.0,4083,1,0.7645931243896484,420.01397705078125,1241.51806640625
A2+A3,dual_branch,multitask,1.0,4126,0,0.683864951133728,1155.0384521484375,1496.762451171875
A2+A3,dual_branch,multitask,1.0,4135,1,0.7595785856246948,465.0154724121094,1255.119384765625
A2+A3,dual_branch,multitask,1.0,4161,1,0.7722849249839783,375.0124816894531,1023.3275756835938
A2+A3,dual_branch,multitask,1.0,4169,0,0.6608824729919434,2280.075927734375,1430.81298828125
A2+A3,dual_branch,multitask,1.0,4172,0,0.5923397541046143,1320.0439453125,1665.595947265625
A2+A3,dual_branch,multitask,1.0,4178,0,0.6059295535087585,1650.054931640625,1602.4281005859375
A2+A3,dual_branch,multitask,1.0,4240,0,0.6527779698371887,1725.0574951171875,1499.2872314453125
A2+A3,dual_branch,multitask,1.0,4284,1,0.6413465738296509,360.0119934082031,1534.352294921875
A2+A3,dual_branch,multitask,1.0,4286,1,0.531860888004303,870.0289916992188,1685.425537109375
A2+A3,dual_branch,multitask,1.0,4290,0,0.6999906897544861,1425.0474853515625,1311.360107421875
A2+A3,dual_branch,multitask,1.0,4297,0,0.6483926177024841,1530.0509033203125,1474.6619873046875
A2+A3,dual_branch,multitask,1.0,4310,0,0.5462759733200073,1980.06591796875,1774.4697265625
A2+A3,dual_branch,multitask,1.0,4357,1,0.5028468370437622,915.0304565429688,1935.051513671875
A2+A3,dual_branch,multitask,1.0,4434,1,0.7299705147743225,1035.034423828125,1329.1083984375
A2+A3,dual_branch,multitask,1.0,4655,0,0.49313685297966003,1305.04345703125,1744.2459716796875
A2+A3,dual_branch,multitask,1.0,4659,1,0.6194360852241516,285.0094909667969,1549.074951171875
A2+A3,dual_branch,multitask,1.0,27,0,0.5723685026168823,2145.08203125,1690.740234375
A2+A3,dual_branch,multitask,1.0,28,1,0.5770847201347351,915.0349731445312,1693.0548095703125
A2+A3,dual_branch,multitask,1.0,60,1,0.6051855683326721,855.03271484375,1594.841796875
A2+A3,dual_branch,multitask,1.0,67,0,0.6909693479537964,2550.097412109375,1417.939453125
A2+A3,dual_branch,multitask,1.0,69,0,0.5787744522094727,1725.06591796875,1699.1795654296875
A2+A3,dual_branch,multitask,1.0,73,0,0.5964280366897583,1635.0625,1664.859375
A2+A3,dual_branch,multitask,1.0,74,0,0.5768260955810547,1845.070556640625,1678.4169921875
A2+A3,dual_branch,multitask,1.0,96,1,0.5753874182701111,450.0172119140625,1698.921875
A2+A3,dual_branch,multitask,1.0,106,1,0.5789879560470581,360.0137634277344,1681.84521484375
A2+A3,dual_branch,multitask,1.0,113,0,0.59930419921875,1140.0435791015625,1615.9161376953125
A2+A3,dual_branch,multitask,1.0,123,0,0.596089243888855,2310.08837890625,1624.874755859375
A2+A3,dual_branch,multitask,1.0,139,0,0.6839186549186707,1155.044189453125,1433.1800537109375
A2+A3,dual_branch,multitask,1.0,143,0,0.5648708939552307,1320.050537109375,1702.3170166015625
A2+A3,dual_branch,multitask,1.0,144,1,0.5705794095993042,510.0195007324219,1714.996337890625
A2+A3,dual_branch,multitask,1.0,153,0,0.4776042103767395,1335.051025390625,1907.2080078125
A2+A3,dual_branch,multitask,1.0,160,1,0.581721305847168,390.0149230957031,1677.6387939453125
A2+A3,dual_branch,multitask,1.0,174,0,0.5637114644050598,3060.116943359375,1713.9949951171875
A2+A3,dual_branch,multitask,1.0,215,0,0.5826566815376282,1785.0682373046875,1662.3355712890625
A2+A3,dual_branch,multitask,1.0,219,0,0.5955184698104858,2355.090087890625,1666.48876953125
A2+A3,dual_branch,multitask,1.0,221,0,0.6602748036384583,2250.0859375,1484.080810546875
A2+A3,dual_branch,multitask,1.0,230,0,0.677623450756073,2625.100341796875,1446.4110107421875
A2+A3,dual_branch,multitask,1.0,267,0,0.6784224510192871,1980.07568359375,1445.7198486328125
A2+A3,dual_branch,multitask,1.0,278,0,0.4852379858493805,2010.076904296875,1861.4183349609375
A2+A3,dual_branch,multitask,1.0,283,1,0.6734579205513,795.0303955078125,1456.032470703125
A2+A3,dual_branch,multitask,1.0,326,0,0.5879009962081909,1680.064208984375,1646.589111328125
A2+A3,dual_branch,multitask,1.0,327,0,0.7007262706756592,1845.070556640625,1396.539794921875
A2+A3,dual_branch,multitask,1.0,328,0,0.6525121927261353,1665.063720703125,1498.9984130859375
A2+A3,dual_branch,multitask,1.0,347,0,0.6819280385971069,2850.10888671875,1437.8594970703125
A2+A3,dual_branch,multitask,1.0,356,0,0.6597952842712402,2070.0791015625,1485.17578125
A2+A3,dual_branch,multitask,1.0,360,0,0.6002771854400635,1620.06201171875,1640.046630859375
A2+A3,dual_branch,multitask,1.0,361,0,0.48160624504089355,1680.064208984375,1903.544677734375
A2+A3,dual_branch,multitask,1.0,363,0,0.5713328123092651,1635.0625,1692.8736572265625
A2+A3,dual_branch,multitask,1.0,375,0,0.5758184790611267,3480.133056640625,1681.1409912109375
A2+A3,dual_branch,multitask,1.0,383,0,0.574792742729187,1725.06591796875,1706.665283203125
A2+A3,dual_branch,multitask,1.0,384,1,0.5748745799064636,900.034423828125,1695.542724609375
A2+A3,dual_branch,multitask,1.0,401,0,0.4821350574493408,2445.093505859375,1867.8900146484375
A2+A3,dual_branch,multitask,1.0,418,0,0.48110708594322205,1920.073486328125,1884.1717529296875
A2+A3,dual_branch,multitask,1.0,432,0,0.6944159865379333,1530.0584716796875,1408.6573486328125
A2+A3,dual_branch,multitask,1.0,467,0,0.6365150213241577,3420.130859375,1536.908447265625
A2+A3,dual_branch,multitask,1.0,503,0,0.5749412775039673,1335.051025390625,1698.2320556640625
A2+A3,dual_branch,multitask,1.0,504,0,0.6577332615852356,2445.093505859375,1487.579833984375
A2+A3,dual_branch,multitask,1.0,509,0,0.6322385668754578,2670.10205078125,1543.6904296875
A2+A3,dual_branch,multitask,1.0,514,0,0.602193295955658,3000.11474609375,1659.04931640625
A2+A3,dual_branch,multitask,1.0,536,0,0.5860280990600586,2070.0791015625,1683.9599609375
A2+A3,dual_branch,multitask,1.0,538,1,0.725898265838623,990.037841796875,1338.14306640625
A2+A3,dual_branch,multitask,1.0,541,0,0.7084711194038391,1110.04248046875,1378.0714111328125
A2+A3,dual_branch,multitask,1.0,544,0,0.6583588123321533,2925.11181640625,1487.035400390625
A2+A3,dual_branch,multitask,1.0,549,0,0.4797351062297821,1830.0699462890625,1839.617431640625
A2+A3,dual_branch,multitask,1.0,551,0,0.6044143438339233,1410.053955078125,1598.9246826171875
A2+A3,dual_branch,multitask,1.0,573,0,0.5970300436019897,3165.12109375,1665.2147216796875
A2+A3,dual_branch,multitask,1.0,581,0,0.5879700183868408,3150.120361328125,1677.440673828125
A2+A3,dual_branch,multitask,1.0,590,0,0.4891529977321625,2925.11181640625,1791.88134765625
A2+A3,dual_branch,multitask,1.0,593,0,0.5965617299079895,2460.093994140625,1623.59521484375
A2+A3,dual_branch,multitask,1.0,601,0,0.6844279766082764,1455.0556640625,1432.7991943359375
A2+A3,dual_branch,multitask,1.0,628,0,0.5874884724617004,1365.05224609375,1675.0609130859375
